ledger_id,created_at_utc,match_id,card_json,final_decision,ledger_required,reason,risk_flags,data_gaps,no_betting_commitment
ledger-w1-gs-r1-01,2026-06-10T05:55:00Z,w1-gs-r1-01,data/processed/match_cards/group_stage_round1/w1-gs-r1-01.json,W1_WAIT,true,confirmed_lineup missing; initialized as W1_WAIT from OpenClaw first-round snapshot,CONFIRMED_LINEUP_MISSING|REFEREE_WAIT_EVENT|SUSPENSIONS_PARTIAL|TRAVEL_DISTANCE_PARTIAL|NO_FIXTURE_DETAIL_IN_PROMPT,lineups.confirmed_lineup|match.referee|match.fixture_detail,true
ledger-w1-gs-r1-02,2026-06-10T05:55:00Z,w1-gs-r1-02,data/processed/match_cards/group_stage_round1/w1-gs-r1-02.json,W1_WAIT,true,confirmed_lineup missing; initialized as W1_WAIT from OpenClaw first-round snapshot,CONFIRMED_LINEUP_MISSING|REFEREE_WAIT_EVENT|SUSPENSIONS_PARTIAL|TRAVEL_DISTANCE_PARTIAL|NO_FIXTURE_DETAIL_IN_PROMPT,lineups.confirmed_lineup|match.referee|match.fixture_detail,true
ledger-w1-gs-r1-03,2026-06-10T05:55:00Z,w1-gs-r1-03,data/processed/match_cards/group_stage_round1/w1-gs-r1-03.json,W1_WAIT,true,confirmed_lineup missing; initialized as W1_WAIT from OpenClaw first-round snapshot,CONFIRMED_LINEUP_MISSING|REFEREE_WAIT_EVENT|SUSPENSIONS_PARTIAL|TRAVEL_DISTANCE_PARTIAL|NO_FIXTURE_DETAIL_IN_PROMPT,lineups.confirmed_lineup|match.referee|match.fixture_detail,true
ledger-w1-gs-r1-04,2026-06-10T05:55:00Z,w1-gs-r1-04,data/processed/match_cards/group_stage_round1/w1-gs-r1-04.json,W1_WAIT,true,confirmed_lineup missing; initialized as W1_WAIT from OpenClaw first-round snapshot,CONFIRMED_LINEUP_MISSING|REFEREE_WAIT_EVENT|SUSPENSIONS_PARTIAL|TRAVEL_DISTANCE_PARTIAL|NO_FIXTURE_DETAIL_IN_PROMPT,lineups.confirmed_lineup|match.referee|match.fixture_detail,true
ledger-w1-gs-r1-05,2026-06-10T05:55:00Z,w1-gs-r1-05,data/processed/match_cards/group_stage_round1/w1-gs-r1-05.json,W1_WAIT,true,confirmed_lineup missing; initialized as W1_WAIT from OpenClaw first-round snapshot,CONFIRMED_LINEUP_MISSING|REFEREE_WAIT_EVENT|SUSPENSIONS_PARTIAL|TRAVEL_DISTANCE_PARTIAL|NO_FIXTURE_DETAIL_IN_PROMPT,lineups.confirmed_lineup|match.referee|match.fixture_detail,true
ledger-w1-gs-r1-06,2026-06-10T05:55:00Z,w1-gs-r1-06,data/processed/match_cards/group_stage_round1/w1-gs-r1-06.json,W1_WAIT,true,confirmed_lineup missing; initialized as W1_WAIT from OpenClaw first-round snapshot,CONFIRMED_LINEUP_MISSING|REFEREE_WAIT_EVENT|SUSPENSIONS_PARTIAL|TRAVEL_DISTANCE_PARTIAL|NO_FIXTURE_DETAIL_IN_PROMPT,lineups.confirmed_lineup|match.referee|match.fixture_detail,true
ledger-w1-gs-r1-07,2026-06-10T05:55:00Z,w1-gs-r1-07,data/processed/match_cards/group_stage_round1/w1-gs-r1-07.json,W1_WAIT,true,confirmed_lineup missing; initialized as W1_WAIT from OpenClaw first-round snapshot,CONFIRMED_LINEUP_MISSING|REFEREE_WAIT_EVENT|SUSPENSIONS_PARTIAL|TRAVEL_DISTANCE_PARTIAL|NO_FIXTURE_DETAIL_IN_PROMPT,lineups.confirmed_lineup|match.referee|match.fixture_detail,true
ledger-w1-gs-r1-08,2026-06-10T05:55:00Z,w1-gs-r1-08,data/processed/match_cards/group_stage_round1/w1-gs-r1-08.json,W1_WAIT,true,confirmed_lineup missing; initialized as W1_WAIT from OpenClaw first-round snapshot,CONFIRMED_LINEUP_MISSING|REFEREE_WAIT_EVENT|SUSPENSIONS_PARTIAL|TRAVEL_DISTANCE_PARTIAL|NO_FIXTURE_DETAIL_IN_PROMPT,lineups.confirmed_lineup|match.referee|match.fixture_detail,true
ledger-w1-gs-r1-09,2026-06-10T05:55:00Z,w1-gs-r1-09,data/processed/match_cards/group_stage_round1/w1-gs-r1-09.json,W1_WAIT,true,confirmed_lineup missing; initialized as W1_WAIT from OpenClaw first-round snapshot,CONFIRMED_LINEUP_MISSING|REFEREE_WAIT_EVENT|SUSPENSIONS_PARTIAL|TRAVEL_DISTANCE_PARTIAL|NO_FIXTURE_DETAIL_IN_PROMPT,lineups.confirmed_lineup|match.referee|match.fixture_detail,true
ledger-w1-gs-r1-10,2026-06-10T05:55:00Z,w1-gs-r1-10,data/processed/match_cards/group_stage_round1/w1-gs-r1-10.json,W1_WAIT,true,confirmed_lineup missing; initialized as W1_WAIT from OpenClaw first-round snapshot,CONFIRMED_LINEUP_MISSING|REFEREE_WAIT_EVENT|SUSPENSIONS_PARTIAL|TRAVEL_DISTANCE_PARTIAL|NO_FIXTURE_DETAIL_IN_PROMPT,lineups.confirmed_lineup|match.referee|match.fixture_detail,true
